rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,best_contact_from_hoovers,n_contacts,n_with_email,sweep_key_person,rationale,outreach_status,mergent_email,mergent_phone
1,12,Adirondack Beverages Corp,confirmed co-man (public sweep),beverage,Schenectady,New York,http://www.adirondackbeverages.com,3.8142498E7,1000,Private,Michael Mulrain — Chief Financial Officer,3,1,,verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
2,12,Blount Fine Foods Corp.,confirmed co-man (public sweep),wet-frozen-supplements,Fall River,Massachusetts,http://www.blountfinefoods.com,1.3754517E8,225,Private,William Bigelow — Chief Operating Officer,3,2,Todd Blount (President & CEO (third generation)),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
3,12,"Kettle Cuisine, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Lynn,Massachusetts,http://www.kettlecuisine.com,1.05E8,1200,Private,Jeremy Kacuba — Chief Operating Officer,3,1,Liam McClennon (CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
4,11,Anthony-Thomas Candy Company,confirmed co-man (public sweep),snack-bakery,Columbus,Ohio,http://www.anthony-thomas.com,2.3741371E7,191,Private,Joe Zanetos — President,3,1,Joseph Zanetos (President),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
5,11,"Berner Food & Beverage, LLC",confirmed co-man (public sweep),beverage,Dakota,Illinois,http://www.bernerfoodandbeverage.com,4.9590366E7,300,Private,Bill Marchido — President,3,2,Steve Kneubuehl (CEO),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
6,11,"Cedarlane Natural Foods, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Carson,California,http://www.cedarlanefoods.com,4.4410809E7,600,Private,Robert Atallah — Principal Owner,3,1,Robert Atallah (Founder & CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
7,11,"Golden Boy Foods USA, Inc.",confirmed co-man (public sweep),snack-bakery,Fenton,Missouri,http://www.8ave.com,3.0680788E7,100,Private,Jim Donzelli — Senior Vice President Of Sales,3,2,Jim Dwyer (President & CEO),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
8,11,"Lyons Magnus, LLC",confirmed co-man (public sweep),beverage,Fresno,California,http://www.lyonsmagnus.com,9.2724847E8,873,Private,Stacey Huels — President North Division,3,2,Edward Carolan (CEO),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
9,11,"Organic Milling, Inc.",confirmed co-man (public sweep),snack-bakery,San Dimas,California,http://www.organicmilling.com,2.6565638E7,123,Private,Wolfgang Buehler — Chief Executive Officer,3,1,Wolfgang Buehler (CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
10,11,Palmer & Company,confirmed co-man (public sweep),snack-bakery,Sioux City,Iowa,http://www.palmercandy.com,2.6936073E7,175,Private,BRENDA Huls — Chief Financial Officer,3,1,Marty Palmer (President & CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
11,11,"Stremicks Heritage Foods, LLC",confirmed co-man (public sweep),beverage,Santa Ana,California,http://www.heritage-foods.com,5.3102966000000006E8,430,Private,Jack Noenickx — Chief Financial Officer,3,2,,verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
12,11,"Tulkoff Food Products, Inc.",confirmed co-man (public sweep),wet-frozen-supplements,Baltimore,Maryland,http://www.tulkoff.com,2.6145802E7,95,Private,Buddy Dietz — chief operating officer,3,2,Mike Kagan (CEO (appointed Feb 2025)),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
13,11,Vanee Foods Company,confirmed co-man (public sweep),wet-frozen-supplements,Oak Brook,Illinois,http://www.vanee.com,6.5014191E7,100,Private,Andrew Vanee — Chief Financial Officer,3,1,Aloysius Van Eekeren (President),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
14,11,Wixon Inc.,confirmed co-man (public sweep),snack-bakery,Milwaukee,Wisconsin,http://www.wixon.com,4.4102703E7,200,Private,Patrick McGarry — Chief Operating Officer,3,3,Peter Gottsacker (President),verified co-man (public sweep); 3 email(s) in Hoovers; mid-market size fit,not contacted,,
15,11,"Wolfgang Operations, LLC",confirmed co-man (public sweep),snack-bakery,York,Pennsylvania,http://www.wolfgangco.com,2.822147E7,225,Private,Glen Mattheu — Chief Operating Officer,3,2,,verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
16,10,"Ford Gum & Machine Company, Inc.",likely co-man (D&B description),,Akron,New York,http://www.fordgum.com,2.4596226E7,120,Private,Scott Lerner — Chief Executive Officer,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
17,10,"Star Snacks Co., LLC",confirmed co-man (public sweep),snack-bakery,Jersey City,New Jersey,http://www.starsnacks.net,5.2362316E7,380,Private,Joey Weinreich — Vice President Sales,3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
18,10,Union Beverage Packers LLC,confirmed co-man (public sweep),beverage,Hillside,New Jersey,http://www.unionbevnj.com,2.315925E7,170,Private,Yaron Gohar — Chief Executive Officer,3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
19,9,American Crystal Sugar Company,likely co-man (D&B description),,Moorhead,Minnesota,http://www.crystalsugar.com,7.9759937E8,1365,Private,"Thomas Astrup — Chief Executive Officer, Member of the Senior Management Team, President",3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
20,9,Burke Marketing Corporation,likely co-man (D&B description),,Nevada,Iowa,http://www.burkecorp.com,4.0282543E7,348,Private,Craig Willard — Principal,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
21,9,"Carolina Foods, LLC",confirmed co-man (public sweep),beverage,Charlotte,North Carolina,http://www.carolinafoodsinc.com,5.379987E7,400,Private,,3,0,Brian Demos (President & CEO),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
22,9,"City Brewing Company, LLC",confirmed co-man (public sweep),beverage,La Crosse,Wisconsin,http://www.citybrewery.com,1.5852467E8,400,Private,Ross Sannes — Chief Executive Officer,3,0,Ross Sannes (CEO),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
23,9,"Coating Place, LLC",likely co-man (D&B description),,Verona,Wisconsin,http://www.coatingplace.com,2.2132807E7,140,Private,Timothy Breunig — Chief Executive Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
24,9,"Coloma Frozen Foods, Inc.",likely co-man (D&B description),,Coloma,Michigan,http://www.colomafrozen.com,2.1695578E7,150,Private,Bradley Wendzel — President,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
25,9,Delgrosso Foods Inc.,likely co-man (D&B description),,Tipton,Pennsylvania,http://www.delgrossos.com,2.0779535E7,137,Private,Sean Albright — Chief Financial Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
26,9,"DrinkPAK, LLC",confirmed co-man (public sweep),beverage,Santa Clarita,California,http://www.drinkpak.com,7.4E7,600,Private,Brian Aster — Chief Financial Officer,3,0,Nate Patena (CEO & Co-founder),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
27,9,"Ellison Bakery, LLC",confirmed co-man (public sweep),snack-bakery,Fort Wayne,Indiana,http://www.ebakery.com,2.5246843E7,150,Private,,1,0,Stephanie Chattillion (CEO),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
28,9,Fremont Beef Company,likely co-man (D&B description),,Fremont,Nebraska,http://www.fremontbeef.com,2.0119967E7,110,Private,Max Nagasaka — Chief Executive Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
29,9,"Fresca Foods, Inc.",confirmed co-man (public sweep),snack-bakery,Louisville,Colorado,http://www.frescafoodsinc.com,5.3636196E7,250,Private,,1,0,Brandon Viar (CEO),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
30,9,GEORGIA NUT COMPANY,confirmed co-man (public sweep),snack-bakery,Skokie,Illinois,http://www.georgianutcorp.com,1.014127E8,1027,Private,,1,0,John Drehobl (President & CEO),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
31,9,Gilster-Mary Lee Corporation,confirmed co-man (public sweep),snack-bakery,Chester,Illinois,http://www.gilstermarylee.com,5.5303625E8,4200,Private,Ronald Tretter — Vice President,3,3,,verified co-man (public sweep); 3 email(s) in Hoovers; large,not contacted,,
32,9,"Hearthside Food Solutions, LLC",confirmed co-man (public sweep),snack-bakery,Downers Grove,Illinois,http://www.hearthsidefoods.com,1.8152948E9,11500,Private,Nick Hewitt — Chief Financial Officer,3,3,Darlene Nicosia (CEO),verified co-man (public sweep); 3 email(s) in Hoovers; large,not contacted,,
33,9,"LIEF ORGANICS, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Valencia,California,http://www.lieflabs.com,2.6119652E7,200,Private,Steve Chopp — Chief Financial Officer,3,0,Adel Villalobos (Founder & CEO),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
34,9,"Lakeside Foods, Inc.",confirmed co-man (public sweep),wet-frozen-supplements,Manitowoc,Wisconsin,http://www.lakesidefoods.com,5.2993677E8,1589,Private,,1,0,Joe Yanda (President & CEO (since 2021)),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
35,9,"MGP Ingredients, Inc.",confirmed co-man (public sweep),beverage,Atchison,Kansas,http://www.mgpingredients.com,5.36375E8,617,Public,"Julie Francis — President, Chief Executive Officer",3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
36,9,"Marich Confectionery Company, Inc.",likely co-man (D&B description),,Hollister,California,http://www.marich.com,2.1537209E7,150,Private,Leonard Spelt — Chief Executive Officer,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
